ID,Age,Nationality,Purpose_Visit,Length_of_Stay,Expenditure,Mode_Transport,Main_Destination,Accommodation_Type,Season_Visit,Satisfaction
1,41,Canadian,Leisure,10,1300,Air,Pokhara,Resort,Autumn,5
2,27,Italian,Adventure,15,2700,Air,Annapurna Region,Guesthouse,Spring,5
3,55,British,Cultural,14,1900,Air,Kathmandu,Hotel,Winter,4
4,30,Australian,Religious,5,650,Road,Lumbini,Homestay,Summer,4
5,44,American,Business,3,1400,Air,Kathmandu,Hotel,Autumn,5
6,25,Japanese,Leisure,7,950,Air,Pokhara,Hotel,Spring,4
7,36,German,Cultural,11,1100,Air,Chitwan,Guesthouse,Summer,3
8,48,French,Adventure,18,3100,Air,Everest Region,Guesthouse,Autumn,5
9,32,Indian,Religious,8,750,Road,Kathmandu,Guesthouse,Spring,4
10,29,Spanish,Sports,9,1600,Air,Kathmandu,Hotel,Spring,4
11,34,Russian,Research,13,2200,Air,Lumbini,Hotel,Winter,5
12,40,South Korean,Adventure,6,900,Air,Pokhara,Resort,Winter,4
13,26,Brazilian,Leisure,12,1800,Air,Pokhara,Resort,Autumn,5
14,38,Swiss,Cultural,10,1350,Air,Kathmandu,Hotel,Spring,4
15,47,New Zealander,Adventure,20,3800,Air,Annapurna Region,Guesthouse,Autumn,5
16,33,Malaysian,Religious,7,800,Air,Lumbini,Homestay,Summer,3
17,28,Thai,Leisure,5,700,Road,Chitwan,Guesthouse,Spring,4
18,52,Singaporean,Business,6,1600,Air,Kathmandu,Hotel,Winter,5
19,31,Swedish,Sports,16,2900,Air,Pokhara,Hotel,Spring,4
20,39,Nepali (Residing Abroad),Cultural,14,1400,Air,Kathmandu,Resort,Autumn,5
