SN,Satisfaction_Score,Gender,Nationality,Room_Rate,Length_of_Stay,Booking_Source
1,5,1,1,7000,3,1
2,6,2,2,12500,6,2
3,3,1,1,9200,2,1
4,7,2,2,22000,5,3
5,2,1,1,5000,1,2
6,5,1,1,20000,4,1
7,7,2,1,11500,3,3
8,6,2,2,17400,5,2
9,2,2,1,12200,4,1
10,4,1,2,12800,3,2
11,6,1,1,7000,6,3
12,2,2,2,7500,2,1
13,1,1,2,13200,3,2
14,7,2,2,24000,7,3
15,5,1,1,18000,4,1
16,6,2,1,17000,5,3
17,7,2,1,15000,3,2
18,4,1,2,14000,4,1
19,7,2,2,9200,3,3
20,3,1,1,9500,2,2
21,6,1,2,10000,2,1
22,2,2,1,7800,5,2
23,1,1,2,6800,1,1
24,6,2,1,16200,3,3
25,2,1,2,6000,2,1
26,7,1,1,21000,4,2
27,1,2,2,27000,6,3
28,5,2,2,9400,2,2
29,2,2,1,16200,2,1
30,6,1,2,9200,3,2
