tourism_revenue,tourist_arrivals,avg_stay_days,daily_spending,hotel_occupancy,marketing_index
245,32,4.5,78,62,55
260,35,4.8,82,65,58
255,34,4.6,80,64,57
270,38,5.0,85,68,60
265,36,4.9,83,66,59
280,40,5.2,88,70,63
275,39,5.1,86,69,62
290,42,5.4,90,72,65
285,41,5.3,89,71,64
300,45,5.6,92,74,67
295,44,5.5,91,73,66
310,47,5.8,95,76,69
305,46,5.7,94,75,68
320,50,6.0,98,78,72
315,49,5.9,97,77,71
330,52,6.2,100,80,74
325,51,6.1,99,79,73
340,55,6.4,103,82,76
335,54,6.3,102,81,75
350,58,6.6,105,84,78
345,57,6.5,104,83,77
360,60,6.8,108,86,80
355,59,6.7,107,85,79
370,62,7.0,110,88,82
365,61,6.9,109,87,81
380,65,7.2,113,90,84
375,64,7.1,112,89,83
390,68,7.4,115,92,86
385,67,7.3,114,91,85
400,70,7.6,118,94,88
395,69,7.5,117,93,87
410,72,7.8,120,96,90
405,71,7.7,119,95,89
420,75,8.0,123,98,92
415,74,7.9,122,97,91
430,78,8.2,125,100,94
425,77,8.1,124,99,93
440,80,8.4,128,102,96
435,79,8.3,127,101,95
450,82,8.6,130,104,98
445,81,8.5,129,103,97
460,85,8.8,133,106,100
455,84,8.7,132,105,99
470,88,9.0,135,108,102
465,87,8.9,134,107,101
480,90,9.2,138,110,104
475,89,9.1,137,109,103
490,92,9.4,140,112,106
485,91,9.3,139,111,105
500,95,9.6,143,114,108
