Site_ID,Habitat,Season,Elevation_m,Bird_Species_Richness,Bird_Abundance,Vegetation_Cover_percent,Disturbance_Score_1_5
S001,Urban,Autumn,913,2,5,51.5,5
S002,Forest,Winter,1811,12,21,72.7,4
S003,Urban,Summer,1100,2,10,68.0,4
S004,Urban,Autumn,1287,3,12,23.5,3
S005,Forest,Autumn,1588,3,11,84.5,2
S006,Forest,Spring,1769,13,25,82.6,4
S007,Urban,Summer,2186,7,22,42.5,3
S008,Agricultural,Summer,1291,8,17,62.9,3
S009,Urban,Winter,2033,6,11,64.9,5
S010,Urban,Summer,1809,17,24,60.2,5
S011,Urban,Winter,791,2,11,44.0,3
S012,Urban,Summer,1372,2,8,41.6,5
S013,Forest,Spring,1413,4,13,54.5,4
S014,Urban,Summer,1635,15,20,78.5,1
S015,Agricultural,Winter,941,3,5,65.9,4
S016,Forest,Winter,701,6,14,47.6,3
S017,Agricultural,Spring,924,13,21,70.4,3
S018,Agricultural,Summer,1500,11,17,5.0,4
S019,Agricultural,Summer,1288,17,26,78.0,5
S020,Agricultural,Spring,815,7,10,20.2,5
S021,Forest,Summer,1617,17,22,47.8,3
S022,Forest,Summer,1826,8,21,32.6,2
S023,Agricultural,Winter,893,5,17,29.1,5
S024,Agricultural,Summer,1889,8,18,78.2,4
S025,Forest,Summer,1570,12,19,45.6,5
S026,Forest,Spring,789,9,15,61.9,4
S027,Forest,Spring,821,12,17,54.1,3
S028,Urban,Autumn,842,2,11,64.5,5
S029,Urban,Winter,1693,16,22,56.5,4
S030,Urban,Summer,805,7,11,29.3,3
S031,Agricultural,Summer,1586,9,17,74.9,2
S032,Urban,Autumn,1127,6,15,45.1,4
S033,Agricultural,Summer,2028,5,15,23.9,2
S034,Agricultural,Winter,1016,3,11,46.4,2
S035,Urban,Autumn,1334,7,20,85.0,1
S036,Agricultural,Winter,708,7,13,72.0,5
S037,Urban,Autumn,1473,12,27,48.0,4
S038,Urban,Autumn,1796,16,24,48.0,2
S039,Forest,Spring,2082,17,27,48.6,1
S040,Urban,Winter,922,17,22,95.0,3
S041,Forest,Summer,2139,2,14,62.6,4
S042,Urban,Summer,1252,10,19,63.6,2
S043,Urban,Winter,2093,13,17,75.6,5
S044,Forest,Summer,1415,12,19,59.8,1
S045,Forest,Summer,1987,7,11,49.8,2
S046,Urban,Winter,2041,17,24,51.1,5
S047,Agricultural,Autumn,1807,14,21,53.6,2
S048,Forest,Winter,2041,4,11,54.3,4
S049,Agricultural,Autumn,810,5,13,69.6,4
S050,Agricultural,Summer,950,13,17,56.0,4
S051,Agricultural,Summer,1082,12,20,69.7,1
S052,Forest,Summer,706,5,13,53.4,4
S053,Agricultural,Spring,1158,4,10,56.6,5
S054,Forest,Autumn,1807,11,17,15.0,2
S055,Agricultural,Spring,907,4,15,73.3,3
S056,Urban,Spring,1599,16,23,61.9,5
S057,Urban,Winter,2113,4,10,75.0,5
S058,Forest,Spring,2037,5,11,5.0,4
S059,Urban,Winter,721,17,29,95.0,1
S060,Urban,Winter,1109,8,15,52.2,2
S061,Agricultural,Spring,1594,5,16,77.2,1
S062,Forest,Autumn,1214,10,21,34.2,2
S063,Agricultural,Autumn,1850,2,10,67.3,2
S064,Agricultural,Autumn,1508,9,16,33.9,1
S065,Agricultural,Autumn,1573,17,26,42.5,5
S066,Agricultural,Autumn,713,8,17,93.3,2
S067,Agricultural,Spring,1670,3,13,51.2,1
S068,Agricultural,Spring,1677,9,22,59.3,2
S069,Agricultural,Summer,1713,2,7,72.4,3
S070,Forest,Autumn,1735,12,21,64.9,5
S071,Urban,Spring,786,13,21,58.0,4
S072,Agricultural,Summer,1608,10,17,62.3,2
S073,Agricultural,Autumn,2024,10,16,95.0,3
