Site_ID,Habitat,Elevation_m,Temperature_C,Flower_Abundance,Butterfly_Species_Richness,Butterfly_Abundance,Pesticide_Use
B001,Urban_Garden,1008,14.8,35,11,67,None
B002,Agricultural,2177,19.4,20,18,67,High
B003,Forest,2327,10.4,36,15,64,Low
B004,Urban_Garden,980,23.2,36,11,38,Moderate
B005,Forest,2186,23.1,38,6,31,High
B006,Agricultural,613,18.8,15,12,43,High
B007,Grassland,1248,24.2,14,14,37,None
B008,Forest,2101,16.9,19,19,31,Low
B009,Agricultural,860,18.1,21,16,37,High
B010,Urban_Garden,840,23.7,44,16,14,Moderate
B011,Forest,1269,19.2,22,4,42,Low
B012,Forest,1260,21.7,13,13,62,Moderate
B013,Urban_Garden,1468,19.7,29,18,21,High
B014,Grassland,948,20.4,44,8,17,Moderate
B015,Urban_Garden,2366,20.5,18,7,23,None
B016,Forest,1334,19.2,29,6,61,Moderate
B017,Urban_Garden,1703,23.2,26,17,77,Low
B018,Agricultural,2225,19.5,34,6,51,Moderate
B019,Urban_Garden,1930,22.1,24,12,80,Moderate
B020,Forest,2189,19.1,25,5,52,None
B021,Urban_Garden,1719,15.9,48,7,63,Moderate
B022,Grassland,1989,25.6,36,8,64,Moderate
B023,Urban_Garden,810,24.0,50,10,28,High
B024,Grassland,761,31.2,25,9,75,High
B025,Agricultural,1942,17.8,39,12,57,Low
B026,Grassland,905,21.2,36,8,40,High
B027,Urban_Garden,2462,21.5,34,16,14,High
B028,Forest,642,26.0,43,6,77,High
B029,Grassland,841,20.0,16,15,22,High
B030,Agricultural,1839,17.3,45,19,39,None
B031,Grassland,1624,26.8,22,9,27,High
B032,Grassland,743,20.7,25,6,22,None
B033,Grassland,989,25.5,17,16,55,None
B034,Agricultural,511,25.0,25,5,78,High
B035,Urban_Garden,1762,21.9,12,7,28,Moderate
B036,Grassland,1060,21.3,50,18,49,None
B037,Grassland,541,20.4,44,6,33,Moderate
B038,Forest,1177,21.9,50,4,21,Moderate
B039,Agricultural,1093,25.5,11,20,64,High
B040,Grassland,1952,18.8,27,19,44,Low
B041,Agricultural,2326,22.4,48,16,65,High
B042,Grassland,1681,17.5,36,15,28,Low
B043,Urban_Garden,1739,18.0,15,14,76,Low
B044,Urban_Garden,2193,21.9,26,8,10,High
B045,Grassland,1985,14.2,26,6,44,High
B046,Urban_Garden,633,30.2,47,18,56,Low
B047,Grassland,1590,17.2,29,15,26,High
B048,Urban_Garden,2371,21.8,26,6,19,Low
B049,Forest,1530,26.7,32,19,68,Moderate
B050,Forest,1447,18.5,33,3,48,High
B051,Forest,2049,12.8,17,20,40,Moderate
B052,Agricultural,572,20.2,22,19,57,None
B053,Agricultural,898,18.5,6,17,75,Moderate
B054,Forest,1928,12.9,33,13,78,Moderate
B055,Agricultural,2198,23.1,25,15,40,Low
B056,Urban_Garden,1077,22.8,19,3,31,Moderate
B057,Grassland,1358,26.6,31,19,68,High
B058,Grassland,629,17.5,35,8,68,Low
B059,Grassland,1430,15.6,19,6,35,None
B060,Forest,1989,20.4,27,18,65,High
B061,Agricultural,1729,21.6,28,17,50,None
B062,Urban_Garden,2311,25.7,48,17,48,Moderate
B063,Urban_Garden,2291,27.6,17,8,46,High
B064,Forest,765,26.9,26,17,56,High
B065,Urban_Garden,2060,23.1,47,16,24,None
B066,Urban_Garden,2485,25.2,41,13,77,High
B067,Urban_Garden,1292,19.4,37,9,77,High
B068,Urban_Garden,752,22.7,7,11,72,High
B069,Agricultural,1321,17.2,23,18,12,Moderate
B070,Urban_Garden,1812,22.3,27,7,9,None
B071,Grassland,663,22.4,33,12,29,High
B072,Forest,594,28.9,34,20,64,Low
B073,Agricultural,2305,21.1,43,5,73,Low
B074,Urban_Garden,1332,22.4,48,15,23,Low
B075,Agricultural,1633,22.9,29,13,58,Low
B076,Urban_Garden,835,20.2,41,19,46,Moderate
B077,Grassland,1321,18.8,12,15,47,High
B078,Forest,737,27.2,46,8,45,None
B079,Urban_Garden,880,18.1,20,19,67,High
B080,Urban_Garden,1959,16.7,12,15,66,Moderate
B081,Urban_Garden,1398,24.7,5,12,17,Low
B082,Urban_Garden,982,26.6,48,5,71,Moderate
B083,Forest,2460,20.2,9,16,70,High
B084,Forest,1401,20.3,7,7,56,None
B085,Grassland,1548,23.1,5,7,71,Moderate
B086,Forest,2176,19.2,8,19,39,None
B087,Urban_Garden,1640,18.9,44,12,14,Moderate
B088,Grassland,981,25.5,39,7,28,None
B089,Grassland,1915,24.4,36,6,27,None
B090,Grassland,1416,27.2,46,8,33,Low
B091,Urban_Garden,1493,17.0,38,6,75,None
B092,Agricultural,1463,20.0,47,9,22,Low
B093,Urban_Garden,1036,23.1,29,9,21,High
B094,Forest,1602,18.3,14,20,34,High
B095,Forest,2103,24.6,25,5,47,Low
B096,Urban_Garden,1696,26.9,50,3,65,Low
B097,Urban_Garden,2479,19.7,43,6,35,Moderate
B098,Grassland,1535,22.2,31,8,33,Moderate
B099,Urban_Garden,2323,27.8,31,11,70,Moderate
B100,Grassland,627,29.2,6,16,73,High
