Sampling_Site,River_Section,pH,Water_Temperature_C,Dissolved_Oxygen_mg_L,Turbidity_NTU,Nitrate_mg_L,Fish_Species_Richness,Fish_Abundance
F001,Downstream,6.11,24.8,7.96,7.7,4.08,13,125
F002,Upstream,7.62,22.7,7.75,6.9,2.0,9,118
F003,Upstream,6.93,19.2,4.3,20.0,5.48,3,145
F004,Downstream,7.15,17.3,6.19,10.8,2.97,8,50
F005,Upstream,7.37,13.5,5.82,10.4,3.54,9,121
F006,Upstream,7.3,17.8,6.07,3.7,2.01,12,121
F007,Midstream,7.55,19.4,6.75,17.8,0.2,7,112
F008,Midstream,6.98,17.0,6.29,5.8,3.62,6,55
F009,Midstream,7.46,19.6,4.03,12.6,8.83,12,77
F010,Midstream,7.07,20.2,8.12,14.4,5.57,10,131
F011,Upstream,7.57,19.3,5.39,27.6,3.96,14,24
F012,Downstream,7.51,18.0,7.36,5.6,3.47,4,138
F013,Upstream,6.73,20.5,10.11,2.0,4.04,13,120
F014,Upstream,7.74,21.3,5.62,13.6,5.09,14,33
F015,Upstream,6.93,16.7,3.2,35.9,1.64,14,36
F016,Midstream,7.6,24.2,6.57,25.6,6.23,11,49
F017,Midstream,7.38,19.7,8.65,13.8,5.43,5,33
F018,Midstream,8.12,20.1,9.94,9.1,5.44,10,33
F019,Downstream,7.09,22.1,5.16,19.8,4.88,7,13
F020,Upstream,7.03,20.7,7.75,6.8,4.04,9,76
F021,Downstream,7.19,22.9,6.3,16.2,5.35,8,43
F022,Midstream,7.05,20.9,6.84,16.5,5.18,12,125
F023,Downstream,7.6,18.2,10.97,23.0,3.29,3,32
F024,Upstream,6.39,21.1,4.75,63.8,2.85,4,118
F025,Upstream,6.67,16.6,7.38,15.4,4.2,2,78
F026,Midstream,6.67,20.3,7.7,9.0,7.1,10,104
F027,Midstream,7.68,19.9,8.63,12.0,1.52,14,71
F028,Downstream,8.06,19.4,7.15,4.2,1.06,8,66
F029,Midstream,7.15,19.6,7.46,8.0,4.33,2,63
F030,Midstream,7.12,14.4,6.41,9.5,4.1,4,79
F031,Upstream,7.24,18.4,7.4,8.9,4.35,5,110
F032,Midstream,7.78,20.3,6.49,13.3,4.49,5,66
F033,Midstream,6.74,20.5,7.93,7.4,3.55,6,147
F034,Upstream,7.32,16.9,6.45,23.9,6.98,15,144
F035,Upstream,7.69,23.8,7.57,12.2,0.8,4,112
F036,Downstream,7.45,17.4,6.96,12.1,2.34,4,94
F037,Midstream,7.29,22.9,8.69,10.0,3.79,2,70
F038,Upstream,7.7,21.3,6.92,13.4,0.71,8,12
F039,Downstream,5.85,18.1,4.34,20.0,3.65,12,137
F040,Downstream,7.54,25.3,8.89,7.2,7.32,11,95
F041,Midstream,6.87,16.4,5.64,8.2,4.04,15,56
F042,Midstream,6.28,22.8,6.02,10.2,4.46,2,85
F043,Downstream,7.46,23.0,6.11,5.4,1.48,3,47
F044,Upstream,7.89,18.0,9.06,7.5,2.77,14,150
F045,Downstream,7.13,24.2,3.8,9.2,3.25,5,96
F046,Midstream,7.68,19.2,11.71,20.6,3.36,14,67
F047,Upstream,8.01,20.9,8.58,14.3,6.56,5,59
F048,Upstream,7.86,20.8,7.33,13.7,5.12,6,39
F049,Downstream,8.02,19.6,6.92,20.3,1.78,12,110
F050,Midstream,7.57,22.4,7.43,11.2,4.49,3,34
F051,Downstream,7.24,22.4,7.78,15.4,5.0,5,121
F052,Downstream,6.4,14.8,7.97,11.5,6.28,2,135
F053,Downstream,7.08,23.9,7.83,14.3,7.16,3,132
F054,Upstream,6.78,15.0,7.13,8.6,1.97,2,56
F055,Upstream,8.29,23.1,6.7,2.8,2.38,11,127
F056,Midstream,7.11,23.4,6.77,11.2,1.48,11,48
F057,Midstream,7.26,16.7,6.71,28.6,3.53,14,25
F058,Downstream,7.48,18.8,8.7,21.2,4.93,5,31
F059,Downstream,7.22,16.7,7.89,21.7,5.97,5,63
F060,Downstream,8.05,19.4,2.59,25.6,3.85,8,25
F061,Midstream,6.89,19.1,7.98,12.8,3.36,11,68
F062,Upstream,7.3,22.3,7.29,13.7,4.3,12,40
F063,Upstream,6.83,23.9,6.97,8.4,2.33,12,41
F064,Downstream,6.54,24.2,6.42,10.1,8.18,10,18
F065,Downstream,6.89,18.3,8.69,17.6,0.78,10,148
F066,Downstream,7.18,19.4,8.42,25.1,4.37,6,19
F067,Downstream,6.99,14.9,5.84,11.2,8.05,11,26
F068,Midstream,6.85,17.6,7.61,9.3,4.01,2,77
F069,Upstream,6.5,22.9,5.54,12.2,3.62,2,57
F070,Downstream,7.16,24.8,4.93,17.5,3.29,7,120
F071,Midstream,6.45,16.3,6.06,5.1,3.64,3,132
F072,Downstream,7.58,18.2,8.29,3.1,6.75,9,110
F073,Downstream,7.24,19.9,8.43,8.8,0.2,14,111
F074,Upstream,6.47,20.8,7.77,5.9,7.07,10,74
F075,Downstream,7.05,17.6,8.09,9.0,1.15,14,60
F076,Upstream,6.82,21.3,7.77,11.1,3.47,5,45
F077,Upstream,7.36,18.6,6.04,9.3,3.14,6,90
F078,Upstream,7.87,20.0,7.65,29.1,5.18,12,136
F079,Midstream,6.26,21.6,8.2,14.8,0.8,9,97
F080,Midstream,7.26,20.0,8.13,14.6,4.92,4,113
F081,Upstream,7.12,18.7,8.78,17.7,8.05,6,24
F082,Downstream,7.54,19.7,8.06,6.2,1.27,4,105
F083,Upstream,7.31,19.7,7.53,22.7,4.38,13,132
F084,Downstream,6.82,18.9,8.61,11.6,2.68,11,10
F085,Upstream,7.04,19.2,6.96,18.2,4.85,4,131
F086,Downstream,6.8,24.8,5.68,6.4,4.04,4,135
F087,Midstream,7.74,21.7,6.76,4.8,2.72,14,66
F088,Downstream,7.21,19.1,5.88,19.9,4.98,13,90
F089,Upstream,8.15,22.1,5.99,15.3,7.61,8,82
F090,Midstream,7.17,19.0,6.78,7.1,3.62,8,150
F091,Downstream,6.85,23.5,5.81,7.2,5.44,8,79
F092,Downstream,6.44,21.1,6.54,23.9,1.41,11,15
F093,Downstream,6.3,19.7,4.16,6.0,2.09,9,93
F094,Downstream,6.41,21.3,7.32,32.6,4.94,6,61
F095,Downstream,7.33,15.3,7.0,7.1,6.97,6,12
F096,Midstream,7.45,16.6,5.77,17.9,4.71,15,90
F097,Midstream,6.41,16.4,7.99,10.0,3.37,5,72
F098,Midstream,7.65,20.4,8.41,17.5,4.0,8,58
F099,Midstream,6.96,25.2,4.59,8.8,1.5,11,85
F100,Upstream,7.27,26.7,5.86,11.0,5.21,5,121
