Breeding_Site_ID,Location_Type,Container_Type,Water_Temperature_C,pH,Water_Stagnation_Days,Vegetation_Present,Larval_Count,Adult_Mosquito_Count,Distance_to_House_m
M001,Construction_Site,Pond,27.9,7.74,11,No,23,15,16
M002,Household,Tank,22.7,7.04,27,No,42,9,59
M003,Household,Pond,20.9,6.89,21,No,21,14,69
M004,School,Tank,24.0,6.94,19,No,30,11,68
M005,Market,Tire,23.2,7.26,22,Yes,27,19,21
M006,Drain,Discarded_Can,28.2,6.01,11,Yes,25,9,78
M007,Drain,Drain,23.7,7.9,30,No,22,13,95
M008,Market,Tire,29.1,7.13,28,Yes,32,18,78
M009,Household,Discarded_Can,26.0,6.85,16,Yes,28,9,70
M010,School,Tank,27.7,5.58,21,No,23,12,12
M011,School,Discarded_Can,25.0,7.08,3,No,23,14,16
M012,Drain,Tank,28.8,6.98,22,No,20,4,81
M013,School,Tire,21.5,6.56,6,No,18,11,87
M014,Market,Bucket,25.3,6.7,14,No,24,21,14
M015,Household,Bucket,23.8,7.08,24,Yes,26,15,61
M016,Market,Discarded_Can,29.2,6.75,18,No,27,12,71
M017,Construction_Site,Bucket,29.5,7.44,17,No,30,9,46
M018,Drain,Tank,25.0,6.65,4,No,28,13,32
M019,School,Pond,21.1,7.19,23,Yes,25,17,15
M020,Construction_Site,Tank,26.3,7.81,15,No,32,9,44
M021,School,Pond,20.0,7.08,11,No,25,14,17
M022,Household,Tire,29.9,7.31,26,No,25,9,41
M023,Household,Drain,23.6,7.28,3,Yes,34,16,54
M024,Household,Pond,24.9,7.1,3,No,21,12,44
M025,School,Bucket,23.0,7.06,16,No,31,10,98
M026,Construction_Site,Tank,22.3,6.76,5,No,31,6,5
M027,Household,Tire,27.2,7.19,21,Yes,24,11,27
M028,Construction_Site,Bucket,24.5,6.93,29,No,26,17,87
M029,School,Tire,25.1,8.03,10,No,26,9,78
M030,Construction_Site,Drain,22.0,7.59,19,No,30,15,79
M031,School,Tank,27.6,6.23,25,Yes,22,11,43
M032,School,Discarded_Can,27.9,6.26,4,No,26,12,97
M033,Drain,Tank,24.4,7.02,29,No,21,17,31
M034,School,Drain,28.8,6.86,29,No,25,17,99
M035,School,Tank,24.7,6.99,19,Yes,29,14,17
M036,Market,Discarded_Can,27.3,7.49,11,Yes,26,9,92
M037,Household,Pond,20.1,7.29,2,No,23,11,83
M038,Drain,Tire,26.1,7.28,10,Yes,21,11,54
M039,Drain,Discarded_Can,24.2,7.97,29,Yes,20,11,62
M040,Drain,Bucket,25.5,6.27,11,Yes,35,12,87
M041,Market,Drain,25.3,7.16,25,No,34,10,32
M042,School,Pond,25.4,6.75,20,No,26,11,40
M043,Household,Bucket,26.8,7.96,16,Yes,29,7,13
M044,Construction_Site,Bucket,23.3,5.77,19,Yes,27,11,84
M045,School,Drain,26.7,5.8,23,Yes,25,14,35
M046,Market,Pond,28.7,7.28,24,No,35,10,5
M047,School,Bucket,20.8,7.78,11,No,28,4,73
M048,School,Bucket,22.7,7.56,14,Yes,28,10,29
M049,Market,Pond,22.8,6.62,2,Yes,21,9,70
M050,Drain,Tank,21.7,8.0,23,Yes,24,19,25
M051,Drain,Bucket,23.6,6.36,28,Yes,18,9,95
M052,Household,Tire,28.1,7.88,5,No,21,9,22
M053,Household,Pond,29.3,6.44,27,Yes,20,18,66
M054,Drain,Bucket,25.3,6.89,5,No,24,11,45
M055,Construction_Site,Drain,24.0,7.48,19,Yes,33,16,69
M056,School,Discarded_Can,27.4,6.22,21,Yes,34,19,91
M057,Construction_Site,Tire,17.9,7.98,12,Yes,27,10,89
M058,School,Discarded_Can,21.8,6.89,18,Yes,27,14,72
M059,Drain,Discarded_Can,18.0,7.18,4,Yes,26,13,1
M060,Household,Bucket,21.8,7.8,22,No,23,5,84
M061,Household,Tire,22.7,6.62,17,Yes,29,13,44
M062,Construction_Site,Tire,29.4,7.74,10,Yes,17,7,87
M063,Household,Tank,16.7,8.08,20,Yes,24,8,96
M064,Drain,Discarded_Can,23.7,6.71,6,No,22,11,75
M065,Construction_Site,Tire,26.9,7.92,25,No,26,9,39
M066,School,Tank,26.2,6.04,14,No,20,9,54
M067,Household,Pond,29.4,7.33,11,No,27,6,88
M068,Market,Tank,25.5,6.36,11,Yes,25,10,75
M069,Household,Drain,26.1,7.67,29,Yes,33,10,29
M070,School,Bucket,19.5,7.62,18,Yes,24,14,54
M071,Construction_Site,Pond,22.0,8.35,27,No,26,14,90
M072,School,Pond,19.7,7.95,23,Yes,24,9,16
M073,Market,Drain,26.7,7.0,22,Yes,21,10,99
M074,Drain,Tank,26.0,6.45,18,No,22,12,20
M075,Household,Bucket,25.9,7.44,24,No,35,10,46
M076,Construction_Site,Tank,22.4,7.06,23,No,20,7,67
M077,Drain,Tire,22.1,8.03,11,Yes,21,16,65
M078,School,Tank,25.6,5.8,21,Yes,21,10,58
M079,Construction_Site,Pond,23.0,8.41,12,No,24,10,53
M080,Drain,Bucket,21.9,7.42,5,Yes,20,10,1
M081,Construction_Site,Tank,23.5,6.61,23,No,27,7,81
M082,Market,Bucket,23.0,7.54,9,No,20,8,66
M083,Market,Bucket,22.4,7.88,27,Yes,30,7,29
M084,Household,Tire,21.3,7.17,25,No,31,14,84
M085,Household,Tire,26.3,6.04,9,No,28,6,70
M086,Market,Pond,29.7,6.92,22,No,23,11,8
M087,Construction_Site,Drain,24.9,7.72,10,Yes,22,7,29
M088,Market,Bucket,25.7,7.4,22,No,18,10,51
M089,Household,Drain,26.6,7.01,19,No,26,12,33
M090,Market,Pond,26.1,7.88,1,No,30,11,3
M091,Market,Bucket,22.5,7.54,7,No,25,13,60
M092,Construction_Site,Bucket,30.2,7.59,4,No,19,12,35
M093,Drain,Discarded_Can,22.7,6.85,1,No,27,9,69
M094,Household,Drain,26.9,6.8,15,No,23,7,91
M095,Construction_Site,Tank,26.6,6.08,8,Yes,13,12,76
M096,Market,Tire,19.1,6.94,12,Yes,18,12,84
M097,Market,Tank,23.9,7.66,22,No,25,8,20
M098,Drain,Drain,25.2,6.98,22,Yes,24,13,73
M099,Household,Tire,25.4,7.37,18,Yes,35,5,39
M100,Household,Tank,25.9,7.77,15,No,21,7,4
M101,School,Discarded_Can,27.3,7.32,17,Yes,17,15,19
M102,Household,Tire,25.0,7.38,29,No,23,8,91
M103,Drain,Bucket,26.1,6.29,14,No,26,10,45
M104,School,Tank,24.9,6.91,14,No,32,14,43
M105,School,Tire,21.9,8.14,18,No,28,14,13
M106,Market,Discarded_Can,25.1,7.16,20,No,31,7,13
M107,Market,Tire,27.2,8.24,18,Yes,29,8,60
M108,Household,Tire,28.3,6.67,16,No,21,11,57
M109,School,Discarded_Can,26.6,7.24,1,Yes,30,12,86
M110,Market,Tank,29.0,6.87,23,No,29,14,92
M111,Drain,Pond,26.3,7.46,27,No,19,12,52
M112,Market,Tank,27.6,7.64,11,No,26,15,53
M113,Market,Drain,27.8,7.46,15,Yes,29,15,86
M114,School,Discarded_Can,24.3,7.73,12,No,32,8,43
M115,School,Tank,27.2,7.09,8,No,19,10,83
M116,Construction_Site,Tire,22.2,6.99,22,No,26,16,72
M117,Drain,Discarded_Can,26.0,6.05,20,No,31,8,72
M118,School,Bucket,26.7,7.48,30,Yes,33,13,42
M119,Household,Tank,28.2,7.2,6,No,20,16,90
M120,Drain,Discarded_Can,27.5,7.06,3,Yes,26,13,26
