Animal_ID,Animal_Type,Age_years,Sex,Management_System,Season,Body_Condition_Score,Parasite_Status,Egg_Count_EPG,Anemia_Observed
A001,Cattle,7,Female,Grazing,Spring,2.4,Negative,0,No
A002,Goat,9,Female,Semi_Intensive,Autumn,2.3,Positive,903,Yes
A003,Buffalo,4,Female,Grazing,Spring,3.5,Positive,285,No
A004,Goat,8,Female,Grazing,Summer,1.8,Negative,0,No
A005,Goat,3,Female,Grazing,Autumn,3.9,Positive,728,No
A006,Cattle,7,Female,Grazing,Summer,3.4,Negative,0,Yes
A007,Cattle,3,Male,Semi_Intensive,Summer,3.6,Positive,265,No
A008,Cattle,7,Female,Intensive,Winter,2.5,Positive,904,No
A009,Goat,10,Male,Grazing,Autumn,2.7,Positive,184,Yes
A010,Goat,10,Male,Semi_Intensive,Spring,1.8,Positive,954,No
A011,Goat,6,Female,Semi_Intensive,Summer,2.4,Negative,0,No
A012,Cattle,2,Male,Grazing,Spring,3.1,Negative,0,No
A013,Sheep,3,Male,Intensive,Winter,3.7,Negative,0,Yes
A014,Buffalo,6,Male,Grazing,Winter,2.0,Negative,0,Yes
A015,Sheep,4,Male,Semi_Intensive,Autumn,2.5,Positive,1124,No
A016,Goat,6,Female,Intensive,Winter,2.7,Negative,0,No
A017,Goat,1,Male,Semi_Intensive,Winter,1.8,Positive,969,Yes
A018,Sheep,10,Male,Grazing,Spring,3.2,Positive,315,Yes
A019,Goat,1,Female,Intensive,Winter,2.3,Negative,0,No
A020,Buffalo,3,Female,Semi_Intensive,Winter,2.7,Positive,761,No
A021,Goat,8,Female,Semi_Intensive,Summer,2.5,Positive,119,Yes
A022,Buffalo,8,Male,Semi_Intensive,Winter,2.2,Negative,0,No
A023,Sheep,4,Female,Grazing,Summer,2.8,Negative,0,No
A024,Sheep,6,Female,Intensive,Winter,2.6,Negative,0,Yes
A025,Goat,8,Female,Grazing,Winter,2.5,Positive,1091,No
A026,Buffalo,7,Female,Grazing,Autumn,2.3,Positive,781,No
A027,Goat,7,Female,Grazing,Autumn,3.0,Negative,0,No
A028,Cattle,4,Male,Intensive,Summer,4.0,Positive,805,No
