Household_ID,District,Distance_to_Forest_km,Farm_Size_Ropani,Crop_Damage_Last_Year_NPR,Wildlife_Visits_per_Month,Crop_Type,Conflict_Experienced,Preventive_Method,Conservation_Attitude_1_5
H001,Kaski,1.79,3.4,17138,7,Maize,No,Fence,2
H002,Sindhupalchok,3.35,13.5,44328,1,Rice,No,Scarecrow,2
H003,Nuwakot,5.66,1.8,46202,3,Vegetables,Yes,Guarding,3
H004,Sindhupalchok,1.82,12.4,40164,7,Fruits,Yes,Scarecrow,2
H005,Sindhupalchok,3.0,17.5,89743,7,Vegetables,No,Scarecrow,3
H006,Chitwan,3.19,17.9,54659,6,Fruits,Yes,Scarecrow,1
H007,Chitwan,7.81,9.5,86155,8,Maize,Yes,None,4
H008,Chitwan,7.64,9.7,49692,7,Fruits,Yes,Scarecrow,4
H009,Sindhupalchok,6.42,2.5,24845,5,Rice,No,Guarding,5
H010,Kaski,2.01,13.7,89846,6,Fruits,Yes,Fence,2
H011,Nuwakot,0.64,16.6,30562,6,Wheat,Yes,Scarecrow,5
H012,Nuwakot,2.6,5.6,28036,7,Rice,No,Guarding,1
H013,Kaski,2.21,9.0,60752,6,Maize,No,Scarecrow,4
H014,Kaski,4.1,16.9,74233,3,Rice,Yes,Fence,1
H015,Nuwakot,6.24,17.7,83049,3,Wheat,Yes,Guarding,1
H016,Kavrepalanchok,6.88,5.6,68681,1,Maize,No,Guarding,2
H017,Chitwan,6.77,11.5,27818,5,Vegetables,No,Fence,1
H018,Chitwan,2.94,4.7,30544,3,Wheat,No,Guarding,4
H019,Nuwakot,5.53,2.9,62532,9,Maize,Yes,Fence,5
H020,Kaski,2.57,18.3,78636,8,Fruits,Yes,Guarding,4
H021,Kavrepalanchok,0.58,16.6,57705,4,Rice,No,Guarding,2
H022,Nuwakot,5.64,15.4,20104,2,Maize,No,Fence,4
H023,Chitwan,0.18,1.9,69603,3,Rice,Yes,Fence,3
H024,Sindhupalchok,3.33,17.0,59025,2,Fruits,Yes,Guarding,5
H025,Kaski,2.7,9.3,96264,4,Maize,No,Guarding,3
H026,Sindhupalchok,5.58,7.5,32317,4,Vegetables,Yes,Fence,3
H027,Nuwakot,6.15,11.4,31416,5,Wheat,Yes,None,2
H028,Chitwan,2.5,2.7,42012,8,Maize,Yes,Fence,1
H029,Kavrepalanchok,6.51,15.4,68045,6,Fruits,Yes,Guarding,3
H030,Sindhupalchok,2.42,12.1,21400,3,Maize,Yes,Guarding,4
H031,Kavrepalanchok,3.63,4.5,48270,5,Rice,No,Guarding,1
H032,Chitwan,5.84,4.6,72069,6,Maize,Yes,Fence,4
H033,Sindhupalchok,5.57,4.5,49833,3,Vegetables,Yes,Guarding,4
H034,Kavrepalanchok,7.9,2.1,63644,8,Maize,Yes,None,1
H035,Kavrepalanchok,1.88,12.2,80206,8,Wheat,Yes,Scarecrow,1
H036,Sindhupalchok,5.33,17.0,69468,5,Maize,Yes,None,4
H037,Chitwan,4.92,1.3,59473,4,Rice,Yes,Fence,2
H038,Kavrepalanchok,7.33,1.9,45809,2,Maize,No,Guarding,5
H039,Nuwakot,1.34,11.9,38328,6,Vegetables,Yes,Fence,5
H040,Sindhupalchok,6.04,16.6,36784,5,Fruits,Yes,Scarecrow,2
H041,Kaski,4.59,7.2,23723,6,Maize,Yes,Fence,1
H042,Kaski,2.27,7.6,60646,7,Maize,Yes,Guarding,4
H043,Chitwan,3.85,12.3,66255,3,Wheat,No,Scarecrow,5
H044,Nuwakot,2.74,6.2,74,9,Vegetables,Yes,Scarecrow,4
H045,Kavrepalanchok,4.68,1.5,26498,2,Fruits,No,Guarding,2
H046,Kaski,7.12,15.0,65522,0,Rice,Yes,Guarding,4
H047,Chitwan,4.6,12.9,96881,6,Maize,No,Guarding,2
H048,Nuwakot,5.09,12.0,20541,4,Fruits,Yes,Fence,1
H049,Nuwakot,4.2,15.1,45929,6,Rice,No,None,2
H050,Chitwan,0.5,13.8,26028,4,Vegetables,Yes,Fence,2
H051,Chitwan,1.94,4.9,29545,5,Vegetables,Yes,Fence,5
H052,Kavrepalanchok,3.99,7.7,79569,2,Fruits,No,None,4
H053,Chitwan,2.55,3.4,31673,5,Rice,No,Guarding,5
H054,Kavrepalanchok,1.54,3.5,30974,4,Vegetables,Yes,Guarding,3
H055,Kavrepalanchok,4.08,13.8,58899,3,Fruits,Yes,None,2
H056,Sindhupalchok,2.65,17.3,23097,5,Vegetables,Yes,None,3
H057,Nuwakot,2.14,19.3,93144,3,Vegetables,No,Fence,5
H058,Nuwakot,3.77,12.9,64824,3,Vegetables,Yes,Scarecrow,4
H059,Nuwakot,1.15,4.5,23525,4,Wheat,Yes,None,5
H060,Sindhupalchok,7.43,3.0,57804,8,Rice,No,Fence,4
H061,Kavrepalanchok,6.95,16.4,15043,5,Fruits,No,Scarecrow,4
H062,Kavrepalanchok,5.69,12.0,41846,4,Fruits,No,Guarding,1
H063,Chitwan,0.94,12.7,77261,4,Rice,No,Guarding,2
H064,Sindhupalchok,6.23,15.8,50227,4,Rice,No,Fence,5
H065,Chitwan,6.48,14.4,53028,4,Rice,Yes,Fence,4
H066,Sindhupalchok,6.17,16.9,37383,7,Rice,Yes,None,5
H067,Chitwan,1.0,2.1,29483,8,Maize,No,Guarding,5
H068,Kaski,5.19,15.2,7265,7,Fruits,Yes,Fence,4
H069,Nuwakot,6.69,17.2,22763,3,Maize,No,Guarding,3
H070,Nuwakot,4.66,6.4,75652,6,Vegetables,Yes,Guarding,2
H071,Kavrepalanchok,5.21,13.2,15733,6,Vegetables,Yes,None,2
H072,Kaski,3.72,7.0,91038,4,Fruits,No,Scarecrow,1
H073,Nuwakot,4.28,19.2,37420,6,Vegetables,No,None,1
H074,Kavrepalanchok,0.37,1.6,9247,9,Rice,Yes,Fence,1
H075,Kaski,5.15,12.0,23840,6,Maize,No,None,2
H076,Nuwakot,0.74,4.2,65149,4,Rice,No,None,3
H077,Chitwan,3.54,14.5,21058,6,Vegetables,Yes,Guarding,2
H078,Sindhupalchok,2.41,4.3,34929,7,Maize,Yes,None,2
H079,Kaski,4.41,5.5,84171,4,Rice,No,Fence,2
H080,Kavrepalanchok,1.15,10.4,91164,3,Fruits,No,Scarecrow,2
H081,Kaski,5.56,18.4,31362,4,Rice,Yes,None,3
H082,Kavrepalanchok,6.38,5.0,86489,5,Vegetables,No,None,1
H083,Kaski,1.39,3.7,84664,3,Maize,No,Scarecrow,5
H084,Kavrepalanchok,0.92,15.4,47356,5,Fruits,Yes,Fence,1
H085,Nuwakot,1.25,10.5,77597,3,Maize,No,Fence,1
H086,Chitwan,7.03,18.3,6041,5,Fruits,Yes,None,5
H087,Nuwakot,4.27,3.8,78209,5,Maize,Yes,Guarding,2
H088,Chitwan,3.79,13.3,61954,5,Vegetables,No,None,3
H089,Nuwakot,0.94,5.4,61869,6,Fruits,No,Scarecrow,3
H090,Nuwakot,5.23,4.0,21059,6,Wheat,No,Scarecrow,1
H091,Kaski,6.96,14.0,99864,6,Maize,Yes,Scarecrow,5
H092,Sindhupalchok,6.64,12.3,44722,5,Maize,Yes,None,4
H093,Kavrepalanchok,5.05,15.3,17548,7,Rice,Yes,None,2
H094,Kavrepalanchok,0.69,6.9,15078,3,Fruits,Yes,Fence,1
H095,Kavrepalanchok,0.99,9.5,5419,5,Wheat,Yes,Guarding,3
H096,Chitwan,0.49,8.7,35490,7,Vegetables,No,None,5
H097,Kavrepalanchok,2.13,19.7,76086,2,Rice,Yes,Fence,5
H098,Kavrepalanchok,1.17,6.6,58760,8,Wheat,No,None,1
H099,Kaski,2.15,6.6,30337,4,Fruits,Yes,Fence,4
H100,Nuwakot,3.14,7.7,1468,2,Wheat,No,Fence,3
H101,Kavrepalanchok,7.55,11.7,24309,5,Maize,Yes,Guarding,1
H102,Sindhupalchok,4.92,5.8,66344,5,Maize,Yes,None,4
H103,Kavrepalanchok,6.7,18.4,90283,4,Rice,Yes,Fence,5
H104,Chitwan,5.71,6.0,72255,6,Fruits,Yes,Scarecrow,2
H105,Chitwan,0.99,18.0,81899,8,Fruits,No,Scarecrow,3
H106,Chitwan,5.91,3.0,28718,4,Wheat,Yes,Scarecrow,3
H107,Kavrepalanchok,2.27,13.5,94337,3,Rice,No,Guarding,4
H108,Kaski,5.15,18.2,37841,6,Fruits,No,Fence,1
