Observation_ID,Date,Time,Sampling_Site,Habitat_Type,Season,Species_Name,Species_Group,Number_of_Individuals,Sex,Age_Group,Observation_Method,Latitude,Longitude,Elevation_m,Temperature_C,Relative_Humidity_pct,Rainfall_mm,Vegetation_Cover_pct,Canopy_Cover_pct,Food_Availability_Score_1_10,Water_Availability,Distance_from_Road_km,Distance_from_Settlement_km,Human_Activity_Count,Livestock_Count,Agricultural_Activity,Waste_Pollution,Habitat_Disturbance_Score_1_10
1,10/4/2026,8:04,AG01,Agricultural Land,Spring,Gryllus bimaculatus,Insect,8,Unknown,Unknown,Sweep Net,27.6631,85.3862,1375,20.5,68.5,24.7,40.2,39.6,6.9,Available,0.5,0.63,11,7,Yes,None,5.5
2,11/7/2026,9:53,AG01,Agricultural Land,Summer,Pycnonotus cafer,Bird,7,Male,Adult,Point Count,27.6631,85.3862,1375,24.8,77.7,86.7,45.4,33.8,6.7,Available,0.08,0.36,9,3,Yes,Low,6.3
3,15/04/2026,8:20,AG01,Agricultural Land,Spring,Vanessa cardui,Butterfly,1,Unknown,Unknown,Line Transect,27.6631,85.3862,1375,20.5,68.5,24.7,40.2,39.6,6.9,Available,0.5,0.63,11,7,Yes,None,5.5
4,19/04/2026,11:43,AG01,Agricultural Land,Spring,Catopsilia pomona,Butterfly,5,Unknown,Unknown,Line Transect,27.6631,85.3862,1375,20.5,68.5,24.7,40.2,39.6,6.9,Available,0.5,0.63,11,7,Yes,None,5.5
5,11/4/2026,10:54,AG02,Agricultural Land,Spring,Danaus chrysippus,Butterfly,2,Unknown,Unknown,Line Transect,27.6578,85.3971,1412,23.6,62.2,42,45.1,27.2,6.2,Not available,0.3,0.69,5,1,Yes,Low,6.7
6,14/07/2026,7:36,AG02,Agricultural Land,Summer,Acridotheres tristis,Bird,1,Unknown,Adult,Point Count,27.6578,85.3971,1412,25.8,83.6,146.2,52.5,25.1,6.7,Available,0.21,0.4,10,2,Yes,None,6.2
7,17/07/2026,8:04,AG02,Agricultural Land,Summer,Junonia almana,Butterfly,6,Unknown,Unknown,Line Transect,27.6578,85.3971,1412,25.8,83.6,146.2,52.5,25.1,6.7,Available,0.21,0.4,10,2,Yes,None,6.2
8,10/4/2026,7:36,AG03,Agricultural Land,Spring,Euphlyctis cyanophlyctis,Frog,6,Male,Adult,Visual Encounter,27.6715,85.4018,1390,19.6,59.4,41.6,49,26.9,7.6,Available,0.22,0.46,11,3,Yes,Low,5.9
9,12/7/2026,14:59,AG03,Agricultural Land,Summer,Fejervarya limnocharis,Frog,3,Male,Adult,Visual Encounter,27.6715,85.4018,1390,25.8,70,118.9,57.3,30.3,7,Not available,0.43,0.5,3,3,Yes,Low,5.3
10,14/07/2026,6:59,AG03,Agricultural Land,Summer,Acridotheres tristis,Bird,1,Male,Juvenile,Point Count,27.6715,85.4018,1390,25.8,70,118.9,57.3,30.3,7,Not available,0.43,0.5,3,3,Yes,Low,5.3
